layer,ref,mentions,binding,sources,sample,ruling
or/clackamas/west-linn,35,18,0,08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt 14.r-4.5.txt 15.r-3.txt 16.r-2.1.txt,3. Temporary use subject to the provisions of Chapter 35 CDC.,
or/clackamas/west-linn,80,18,0,08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt 14.r-4.5.txt 15.r-3.txt 16.r-2.1.txt,"A. A use permitted outright, CDC 08.030, is a use which requires no approval under the provisions of this code, except that some uses require design review purs",
or,32,17,0,02.definitions.txt 33.110.txt 33.100.txt 33.120.txt 33.140.txt 33.130.txt 33.150.txt 33.910.definitions.txt,"Maximum disturbed area (MDA). The MDA, as measured in square feet, is the maximum area within a WRA that can be disturbed in hardship cases under Chapter 32 CDC",
or,9.0100,17,0,4.1200.civic-neighborhood.txt 4.1400.pleasant-valley.txt 3.0100.definitions.txt 4.0300.industrial.txt 4.1100.downtown.txt 7.0500.rockwood-design.txt 4.0200.commercial.txt 4.1500.springwater.txt,"screen, or separate areas. For purposes of              Section 9.0100, walls are a type of fence.",
or,92,17,0,16.63.land-divisions.txt 19.13.definitions.txt zdo.202.definitions.txt 1.020.definitions.txt 16.12.definitions.txt 4.planning.txt,"PLAT, FINAL: A final map and other writing containing all the descriptions, locations, specifications, dedications, provisions, and information concerning a par",
or/multnomah/gresham,9.0100,17,0,4.1200.civic-neighborhood.txt 4.1400.pleasant-valley.txt 3.0100.definitions.txt 4.0300.industrial.txt 4.1100.downtown.txt 7.0500.rockwood-design.txt 4.0200.commercial.txt 4.1500.springwater.txt,"screen, or separate areas. For purposes of              Section 9.0100, walls are a type of fence.",
or,10.0900,16,0,4.1100.downtown.txt 4.1400.pleasant-valley.txt 4.1200.civic-neighborhood.txt 4.1500.springwater.txt 3.0100.definitions.txt 4.0100.residential.txt 4.0200.commercial.txt 4.0300.industrial.txt 4.0400.corridor.txt 7.0500.rockwood-design.txt,"The following definitions apply to the application of Section 10.0900, Renewable Energy and sustainability",
or,1012,16,0,zdo.315.txt zdo.1012.txt 16.22.residential.txt,"Section 1012 applies to the following land use permit applications in any zoning district that has a minimum lot size standard, district land area standard, or ",
or/multnomah/gresham,10.0900,16,0,4.1100.downtown.txt 4.1400.pleasant-valley.txt 4.1200.civic-neighborhood.txt 4.1500.springwater.txt 3.0100.definitions.txt 4.0100.residential.txt 4.0200.commercial.txt 4.0300.industrial.txt 4.0400.corridor.txt 7.0500.rockwood-design.txt,"The following definitions apply to the application of Section 10.0900, Renewable Energy and sustainability",
or,300,15,0,230.200.txt 235.200.txt 240.200.txt 250.200.txt 260.200.txt 210.310.txt 210.320.txt 220.310.txt 220.320.txt zdo.202.definitions.txt,"ZONING DISTRICT, RESIDENTIAL: A zoning district regulated by Section 300, Urban and Rural Residential Districts.",
or,1005.02,14,0,zdo.315.txt,See Subsections 1005.02(E) and (H).,
